,team,coach,year,num_games_coached
16,MIN,Leslie Frazier,2012,16
17,NOR,Joe Vitt,2012,10
18,NWE,Bill Belichick,2012,16
19,NYG,Tom Coughlin,2012,16
20,NYJ,Rex Ryan,2012,16
21,OAK,Dennis Allen,2012,16
22,PHI,Andy Reid,2012,16
23,PIT,Mike Tomlin,2012,16
24,SDG,Norv Turner,2012,16
25,SEA,Pete Carroll,2012,16
26,SFO,Jim Harbaugh,2012,16
27,STL,Jeff Fisher,2012,16
28,TAM,Greg Schiano,2012,16
29,TEN,Mike Munchak,2012,16
30,WAS,Mike Shanahan,2012,16
0,ATL,Mike Smith,2013,16
1,BAL,John Harbaugh,2013,16
2,BUF,Doug Marrone,2013,16
3,CAR,Ron Rivera,2013,16
4,CHI,Marc Trestman,2013,16
5,CIN,Marvin Lewis,2013,16
6,CLE,Rob Chudzinski,2013,16
7,DAL,Jason Garrett,2013,16
8,DEN,John Fox,2013,16
9,DET,Jim Schwartz,2013,16
10,GNB,Mike McCarthy,2013,16
11,HOU,Gary Kubiak,2013,13
12,IND,Chuck Pagano,2013,16
13,JAX,Gus Bradley,2013,16
14,KAN,Andy Reid,2013,16
15,MIA,Joe Philbin,2013,16
16,MIN,Leslie Frazier,2013,16
17,NOR,Sean Payton,2013,16
18,NWE,Bill Belichick,2013,16
19,NYG,Tom Coughlin,2013,16
20,NYJ,Rex Ryan,2013,16
21,OAK,Dennis Allen,2013,16
22,PHI,Chip Kelly,2013,16
23,PIT,Mike Tomlin,2013,16
24,SDG,Mike McCoy,2013,16
25,SEA,Pete Carroll,2013,16
26,SFO,Jim Harbaugh,2013,16
27,STL,Jeff Fisher,2013,16
28,TAM,Greg Schiano,2013,16
29,TEN,Mike Munchak,2013,16
30,WAS,Mike Shanahan,2013,16
0,ATL,Mike Smith,2014,16
1,BAL,John Harbaugh,2014,16
2,BUF,Doug Marrone,2014,16
3,CAR,Ron Rivera,2014,16
4,CHI,Marc Trestman,2014,16
5,CIN,Marvin Lewis,2014,16
6,CLE,Mike Pettine,2014,16
7,DAL,Jason Garrett,2014,16
8,DEN,John Fox,2014,16
9,DET,Jim Caldwell,2014,16
10,GNB,Mike McCarthy,2014,16
11,HOU,Bill O'Brien,2014,16
12,IND,Chuck Pagano,2014,16
13,JAX,Gus Bradley,2014,16
14,KAN,Andy Reid,2014,16
15,MIA,Joe Philbin,2014,16
16,MIN,Mike Zimmer,2014,16
17,NOR,Sean Payton,2014,16
18,NWE,Bill Belichick,2014,16
19,NYG,Tom Coughlin,2014,16
20,NYJ,Rex Ryan,2014,16
21,OAK,Tony Sparano,2014,12
22,PHI,Chip Kelly,2014,16
23,PIT,Mike Tomlin,2014,16
24,SDG,Mike McCoy,2014,16
25,SEA,Pete Carroll,2014,16
26,SFO,Jim Harbaugh,2014,16
27,STL,Jeff Fisher,2014,16
28,TAM,Lovie Smith,2014,16
29,TEN,Ken Whisenhunt,2014,16
30,WAS,Jay Gruden,2014,16
0,ATL,Dan Quinn,2015,16
1,BAL,John Harbaugh,2015,16
2,BUF,Rex Ryan,2015,16
3,CAR,Ron Rivera,2015,16
4,CHI,John Fox,2015,16
5,CIN,Marvin Lewis,2015,16
6,CLE,Mike Pettine,2015,16
7,DAL,Jason Garrett,2015,16
8,DEN,Gary Kubiak,2015,16
9,DET,Jim Caldwell,2015,16
10,GNB,Mike McCarthy,2015,16
11,HOU,Bill O'Brien,2015,16
12,IND,Chuck Pagano,2015,16
13,JAX,Gus Bradley,2015,16
14,KAN,Andy Reid,2015,16
15,MIA,Dan Campbell,2015,12
16,MIN,Mike Zimmer,2015,16
17,NOR,Sean Payton,2015,16
18,NWE,Bill Belichick,2015,16
19,NYG,Tom Coughlin,2015,16
20,NYJ,Todd Bowles,2015,16
21,OAK,Jack Del Rio,2015,16
22,PHI,Chip Kelly,2015,15
23,PIT,Mike Tomlin,2015,16
24,SDG,Mike McCoy,2015,16
25,SEA,Pete Carroll,2015,16
26,SFO,Jim Tomsula,2015,16
27,STL,Jeff Fisher,2015,16
28,TAM,Lovie Smith,2015,16
29,TEN,Mike Mularkey,2015,9
30,WAS,Jay Gruden,2015,16
0,ATL,Dan Quinn,2016,16
1,BAL,John Harbaugh,2016,16
2,BUF,Rex Ryan,2016,15
3,CAR,Ron Rivera,2016,16
4,CHI,John Fox,2016,16
5,CIN,Marvin Lewis,2016,16
6,CLE,Hue Jackson,2016,16
7,DAL,Jason Garrett,2016,16
8,DEN,Gary Kubiak,2016,16
9,DET,Jim Caldwell,2016,16
10,GNB,Mike McCarthy,2016,16
11,HOU,Bill O'Brien,2016,16
12,IND,Chuck Pagano,2016,16
13,JAX,Gus Bradley,2016,14
14,KAN,Andy Reid,2016,16
15,LAR,Jeff Fisher,2016,13
16,MIA,Adam Gase,2016,16
17,MIN,Mike Zimmer,2016,16
18,NOR,Sean Payton,2016,16
19,NWE,Bill Belichick,2016,16
20,NYG,Ben McAdoo,2016,16
21,NYJ,Todd Bowles,2016,16
22,OAK,Jack Del Rio,2016,16
23,PHI,Doug Pederson,2016,16
24,PIT,Mike Tomlin,2016,16
25,SDG,Mike McCoy,2016,16
26,SEA,Pete Carroll,2016,16
27,SFO,Chip Kelly,2016,16
28,TAM,Dirk Koetter,2016,16
29,TEN,Mike Mularkey,2016,16
30,WAS,Jay Gruden,2016,16
0,ATL,Dan Quinn,2017,16
1,BAL,John Harbaugh,2017,16
2,BUF,Sean McDermott,2017,16
3,CAR,Ron Rivera,2017,16
4,CHI,John Fox,2017,16
5,CIN,Marvin Lewis,2017,16
6,CLE,Hue Jackson,2017,16
7,DAL,Jason Garrett,2017,16
8,DEN,Vance Joseph,2017,16
9,DET,Jim Caldwell,2017,16
10,GNB,Mike McCarthy,2017,16
11,HOU,Bill O'Brien,2017,16
12,IND,Chuck Pagano,2017,16
13,JAX,Doug Marrone,2017,16
14,KAN,Andy Reid,2017,16
15,LAC,Anthony Lynn,2017,16
16,LAR,Sean McVay,2017,16
17,MIA,Adam Gase,2017,16
18,MIN,Mike Zimmer,2017,16
19,NOR,Sean Payton,2017,16
20,NWE,Bill Belichick,2017,16
21,NYG,Ben McAdoo,2017,12
22,NYJ,Todd Bowles,2017,16
23,OAK,Jack Del Rio,2017,16
24,PHI,Doug Pederson,2017,16
25,PIT,Mike Tomlin,2017,16
26,SEA,Pete Carroll,2017,16
27,SFO,Kyle Shanahan,2017,16
28,TAM,Dirk Koetter,2017,16
29,TEN,Mike Mularkey,2017,16
30,WAS,Jay Gruden,2017,16
0,ATL,Dan Quinn,2018,16
1,BAL,John Harbaugh,2018,16
2,BUF,Sean McDermott,2018,16
3,CAR,Ron Rivera,2018,16
4,CHI,Matt Nagy,2018,16
5,CIN,Marvin Lewis,2018,16
6,CLE,Hue Jackson,2018,8
7,DAL,Jason Garrett,2018,16
8,DEN,Vance Joseph,2018,16
9,DET,Matt Patricia,2018,16
10,GNB,Mike McCarthy,2018,12
11,HOU,Bill O'Brien,2018,16
12,IND,Frank Reich,2018,16
13,JAX,Doug Marrone,2018,16
14,KAN,Andy Reid,2018,16
15,LAC,Anthony Lynn,2018,16
16,LAR,Sean McVay,2018,16
17,MIA,Adam Gase,2018,16
18,MIN,Mike Zimmer,2018,16
19,NOR,Sean Payton,2018,16
20,NWE,Bill Belichick,2018,16
21,NYG,Pat Shurmur,2018,16
22,NYJ,Todd Bowles,2018,16
23,OAK,Jon Gruden,2018,16
24,PHI,Doug Pederson,2018,16
25,PIT,Mike Tomlin,2018,16
26,SEA,Pete Carroll,2018,16
27,SFO,Kyle Shanahan,2018,16
28,TAM,Dirk Koetter,2018,16
29,TEN,Mike Vrabel,2018,16
30,WAS,Jay Gruden,2018,16
0,ATL,Dan Quinn,2019,16
1,BAL,John Harbaugh,2019,16
2,BUF,Sean McDermott,2019,16
3,CAR,Ron Rivera,2019,12
4,CHI,Matt Nagy,2019,16
5,CIN,Zac Taylor,2019,16
6,CLE,Freddie Kitchens,2019,16
7,DAL,Jason Garrett,2019,16
8,DEN,Vic Fangio,2019,16
9,DET,Matt Patricia,2019,16
10,GNB,Matt LaFleur,2019,16
11,HOU,Bill O'Brien,2019,16
12,IND,Frank Reich,2019,16
13,JAX,Doug Marrone,2019,16
14,KAN,Andy Reid,2019,16
15,LAC,Anthony Lynn,2019,16
16,LAR,Sean McVay,2019,16
17,MIA,Brian Flores,2019,16
18,MIN,Mike Zimmer,2019,16
19,NOR,Sean Payton,2019,16
20,NWE,Bill Belichick,2019,16
21,NYG,Pat Shurmur,2019,16
22,NYJ,Adam Gase,2019,16
23,OAK,Jon Gruden,2019,16
24,PHI,Doug Pederson,2019,16
25,PIT,Mike Tomlin,2019,16
26,SEA,Pete Carroll,2019,16
27,SFO,Kyle Shanahan,2019,16
28,TAM,Bruce Arians,2019,16
29,TEN,Mike Vrabel,2019,16
30,WAS,Bill Callahan,2019,11
0,ATL,Raheem Morris,2020,11
1,BAL,John Harbaugh,2020,16
2,BUF,Sean McDermott,2020,16
3,CAR,Matt Rhule,2020,16
4,CHI,Matt Nagy,2020,16
5,CIN,Zac Taylor,2020,16
6,CLE,Kevin Stefanski,2020,16
7,DAL,Mike McCarthy,2020,16
8,DEN,Vic Fangio,2020,16
9,DET,Matt Patricia,2020,11
10,GNB,Matt LaFleur,2020,16
11,HOU,Romeo Crennel,2020,12
12,IND,Frank Reich,2020,16
13,JAX,Doug Marrone,2020,16
14,KAN,Andy Reid,2020,16
15,LAC,Anthony Lynn,2020,16
16,LAR,Sean McVay,2020,16
17,LVR,Jon Gruden,2020,16
18,MIA,Brian Flores,2020,16
19,MIN,Mike Zimmer,2020,16
20,NOR,Sean Payton,2020,16
21,NWE,Bill Belichick,2020,16
22,NYG,Joe Judge,2020,16
23,NYJ,Adam Gase,2020,16
24,PHI,Doug Pederson,2020,16
25,PIT,Mike Tomlin,2020,16
26,SEA,Pete Carroll,2020,16
27,SFO,Kyle Shanahan,2020,16
28,TAM,Bruce Arians,2020,16
29,TEN,Mike Vrabel,2020,16
30,WAS,Ron Rivera,2020,16
0,ATL,Arthur Smith,2021,17
1,BAL,John Harbaugh,2021,17
2,BUF,Sean McDermott,2021,17
3,CAR,Matt Rhule,2021,17
4,CHI,Matt Nagy,2021,17
5,CIN,Zac Taylor,2021,17
6,CLE,Kevin Stefanski,2021,17
7,DAL,Mike McCarthy,2021,17
8,DEN,Vic Fangio,2021,17
9,DET,Dan Campbell,2021,17
10,GNB,Matt LaFleur,2021,17
11,HOU,David Culley,2021,17
12,IND,Frank Reich,2021,17
13,JAX,Urban Meyer,2021,13
14,KAN,Andy Reid,2021,17
15,LAC,Brandon Staley,2021,17
16,LAR,Sean McVay,2021,17
17,LVR,Rich Bisaccia,2021,12
18,MIA,Brian Flores,2021,17
19,MIN,Mike Zimmer,2021,17
20,NOR,Sean Payton,2021,17
21,NWE,Bill Belichick,2021,17
22,NYG,Joe Judge,2021,17
23,NYJ,Robert Saleh,2021,17
24,PHI,Nick Sirianni,2021,17
25,PIT,Mike Tomlin,2021,17
26,SEA,Pete Carroll,2021,17
27,SFO,Kyle Shanahan,2021,17
28,TAM,Bruce Arians,2021,17
29,TEN,Mike Vrabel,2021,17
30,WAS,Ron Rivera,2021,17
0,ATL,Arthur Smith,2022,17
1,BAL,John Harbaugh,2022,17
2,BUF,Sean McDermott,2022,16
3,CAR,Steve Wilks,2022,12
4,CHI,Matt Eberflus,2022,17
5,CIN,Zac Taylor,2022,16
6,CLE,Kevin Stefanski,2022,17
7,DAL,Mike McCarthy,2022,17
8,DEN,Nathaniel Hackett,2022,15
9,DET,Dan Campbell,2022,17
10,GNB,Matt LaFleur,2022,17
11,HOU,Lovie Smith,2022,17
12,IND,Frank Reich,2022,9
13,JAX,Doug Pederson,2022,17
14,KAN,Andy Reid,2022,17
15,LAC,Brandon Staley,2022,17
16,LAR,Sean McVay,2022,17
17,LVR,Josh McDaniels,2022,17
18,MIA,Mike McDaniel,2022,17
19,MIN,Kevin O'Connell,2022,17
20,NOR,Dennis Allen,2022,17
21,NWE,Bill Belichick,2022,17
22,NYG,Brian Daboll,2022,17
23,NYJ,Robert Saleh,2022,17
24,PHI,Nick Sirianni,2022,17
25,PIT,Mike Tomlin,2022,17
26,SEA,Pete Carroll,2022,17
27,SFO,Kyle Shanahan,2022,17
28,TAM,Todd Bowles,2022,17
29,TEN,Mike Vrabel,2022,17
30,WAS,Ron Rivera,2022,17
0,ATL,Arthur Smith,2023,17
1,BAL,John Harbaugh,2023,17
2,BUF,Sean McDermott,2023,17
3,CAR,Frank Reich,2023,11
4,CHI,Matt Eberflus,2023,17
5,CIN,Zac Taylor,2023,17
6,CLE,Kevin Stefanski,2023,17
7,DAL,Mike McCarthy,2023,17
8,DEN,Sean Payton,2023,17
9,DET,Dan Campbell,2023,17
10,GNB,Matt LaFleur,2023,17
11,HOU,DeMeco Ryans,2023,17
12,IND,Shane Steichen,2023,17
13,JAX,Doug Pederson,2023,17
14,KAN,Andy Reid,2023,17
15,LAC,Brandon Staley,2023,14
16,LAR,Sean McVay,2023,17
17,LVR,Antonio Pierce,2023,9
18,MIA,Mike McDaniel,2023,17
19,MIN,Kevin O'Connell,2023,17
20,NOR,Dennis Allen,2023,17
21,NWE,Bill Belichick,2023,17
22,NYG,Brian Daboll,2023,17
23,NYJ,Robert Saleh,2023,17
24,PHI,Nick Sirianni,2023,17
25,PIT,Mike Tomlin,2023,17
26,SEA,Pete Carroll,2023,17
27,SFO,Kyle Shanahan,2023,17
28,TAM,Todd Bowles,2023,17
29,TEN,Mike Vrabel,2023,17
30,WAS,Ron Rivera,2023,17
0,ATL,Raheem Morris,2024,17
1,BAL,John Harbaugh,2024,17
2,BUF,Sean McDermott,2024,17
3,CAR,Dave Canales,2024,17
4,CHI,Matt Eberflus,2024,12
5,CIN,Zac Taylor,2024,17
6,CLE,Kevin Stefanski,2024,17
7,DAL,Mike McCarthy,2024,17
8,DEN,Sean Payton,2024,17
9,DET,Dan Campbell,2024,17
10,GNB,Matt LaFleur,2024,17
11,HOU,DeMeco Ryans,2024,17
12,IND,Shane Steichen,2024,17
13,JAX,Doug Pederson,2024,17
14,KAN,Andy Reid,2024,17
15,LAC,Jim Harbaugh,2024,17
16,LAR,Sean McVay,2024,17
17,LVR,Antonio Pierce,2024,17
18,MIA,Mike McDaniel,2024,17
19,MIN,Kevin O'Connell,2024,17
20,NOR,Dennis Allen,2024,9
21,NWE,Jerod Mayo,2024,17
22,NYG,Brian Daboll,2024,17
23,NYJ,Jeff Ulbrich,2024,12
24,PHI,Nick Sirianni,2024,17
25,PIT,Mike Tomlin,2024,17
26,SEA,Mike Macdonald,2024,17
27,SFO,Kyle Shanahan,2024,17
28,TAM,Todd Bowles,2024,17
29,TEN,Brian Callahan,2024,17
30,WAS,Dan Quinn,2024,17
0,ATL,Raheem Morris,2024,17
1,BAL,John Harbaugh,2024,17
2,BUF,Sean McDermott,2024,17
3,CAR,Dave Canales,2024,17
4,CHI,Matt Eberflus,2024,12
5,CIN,Zac Taylor,2024,17
6,CLE,Kevin Stefanski,2024,17
7,DAL,Mike McCarthy,2024,17
8,DEN,Sean Payton,2024,17
9,DET,Dan Campbell,2024,17
10,GNB,Matt LaFleur,2024,17
11,HOU,DeMeco Ryans,2024,17
12,IND,Shane Steichen,2024,17
13,JAX,Doug Pederson,2024,17
14,KAN,Andy Reid,2024,17
15,LAC,Jim Harbaugh,2024,17
16,LAR,Sean McVay,2024,17
17,LVR,Antonio Pierce,2024,17
18,MIA,Mike McDaniel,2024,17
19,MIN,Kevin O'Connell,2024,17
20,NOR,Dennis Allen,2024,9
21,NWE,Jerod Mayo,2024,17
22,NYG,Brian Daboll,2024,17
23,NYJ,Jeff Ulbrich,2024,12
24,PHI,Nick Sirianni,2024,17
25,PIT,Mike Tomlin,2024,17
26,SEA,Mike Macdonald,2024,17
27,SFO,Kyle Shanahan,2024,17
28,TAM,Todd Bowles,2024,17
29,TEN,Brian Callahan,2024,17
30,WAS,Dan Quinn,2024,17
